user_id,user_score,user_freq
7,1.9146,1
13,111.569,1
32,531.564,1
55,15.7188,1
56,12.2595,1
63,20.9838,1
67,143.132,1
70,56.46,1
79,5.6748,1
89,35.2562,1
100,98.0838,2
125,34.9871,1
136,7.1846,1
138,31.1435,1
169,196.601,1
174,46.314,1
175,3.399,1
190,2.4177,1
197,2.8911,1
198,4.5264,1
210,1.5506,1
233,71.6492,1
242,1.6506,1
248,668.757,1
258,19.6553,1
344,3.1172,1
359,1.5093,1
360,17.4487,1
361,15.8865,1
375,1068.61,1
415,3.7595,1
417,5.0841,1
445,329.476,1
455,9.4087,1
467,51.7207,1
469,1225.56,1
471,3.6792,1
476,11.0274,1
477,39.1608,1
500,2.0436,1
540,3.6963,1
547,8.2776,1
563,1.7782,1
567,9.4257,1
575,21.0719,1
585,25.1519,1
630,73.6018,1
639,205.779,1
644,11.293,1
657,23.976,1
667,4.8554,1
668,2.6526,1
684,4.0498,1
685,4.6153,1
705,237.518,1
711,26.2465,1
728,158.002,1
733,30.5618,1
734,2.0814,1
748,5.1851,1
750,3.7089,1
767,14.2057,1
770,70.7525,1
804,34.6532,1
822,468.406,1
834,34.1791,1
840,21.5562,1
859,2.1839,1
860,44.9926,1
888,193.636,1
902,400.229,1
903,7.4738,1
904,91.5784,1
930,28.1018,1
935,22.9314,1
937,1.3885,1
938,28.0891,1
947,686.845,1
954,138.529,1
970,1.609,1
988,3.5884,2
989,144.913,1
1002,8.5627,1
1016,320.805,1
1037,16.9234,1
1047,30.0619,1
1069,1568.84,1
1076,4.6885,1
1078,270.52,1
1079,52.9643,1
1089,5.8995,1
1097,5.8386,1
1099,64.0277,1
1101,217.222,1
1116,3.482,1
1125,5.4464,1
1128,18.0505,1
1132,11.2867,1
1135,166.166,1
1137,22.1528,1
1171,253.948,1
1182,1866.54,1
1213,5.0617,1
1215,14.8357,1
1228,288.557,1
1244,3630.09,1
1265,402.031,1
1269,562.266,1
1298,13.3401,1
1306,1.6892,1
1324,1.5046,1
1341,2.2279,1
1365,28.9384,1
1378,2.6928,1
1379,28.1154,1
1381,71.0093,1
1396,2.2784,1
1398,1.5372,1
1419,2.7458,1
1431,2646.51,1
1443,1.9074,1
1445,1.6986,1
1468,2.2393,2
1471,24.7191,1
1486,4.5096,2
1503,98.0757,1
1510,75.8392,1
1528,934.536,1
1544,6.931,1
1579,4.3032,1
1584,98.8512,1
1589,2.6904,2
1590,21.5706,1
1645,1.6791,1
1652,41.2188,1
1658,1.9141,1
1675,3.1429,1
1676,14.0794,1
1677,16.4657,1
1687,10.8742,1
1705,14.4821,1
1708,382.454,1
1713,1.7475,1
1715,116.383,1
1726,12.0677,1
1738,1.5254,1
1748,1.8491,1
1751,76.3526,1
1752,2.6355,1
1754,46.308,1
1775,27.1492,1
1782,25.3897,1
1785,51.1253,1
1802,24.8281,1
1818,39.4233,1
1830,100.146,1
1841,224.523,1
1842,57.9095,1
1843,108.723,1
1858,110.328,1
1861,49.7828,1
1874,2.6613,1
1882,20.2574,1
1920,1.9133,1
1935,91.6892,1
1942,13.1651,1
1945,13.2464,1
1954,35.5199,1
1981,6.8288,1
2011,16.4872,1
2049,305.249,1
2051,39.7774,1
2053,4.4307,1
2064,5.8021,1
2074,9.8823,1
2075,284.098,1
2076,350.178,2
2084,50.9931,1
2085,188.425,1
2101,7.7609,1
2116,47.2006,1
2154,10.5616,1
