user_id,user_score,user_freq
1,241.594,1
3,2634.84,1
20,14.8699,1
23,10.868,1
27,152.886,1
32,531.564,1
33,1008.77,1
37,24.9353,1
39,84.4718,1
46,749.509,1
47,11.3959,1
54,50.7688,1
58,165.88,1
65,126.008,1
71,846.613,2
75,193.011,1
77,1246.16,1
94,15.017,3
95,198.492,1
96,272.777,1
106,44.4606,1
114,40.596,1
116,565.043,1
118,8.7704,1
123,570.213,2
132,16.8617,1
139,262.765,1
155,254.827,1
156,68.9759,1
166,1.6654,2
171,1.7575,1
176,12.4375,1
178,45.4156,1
183,23.2031,1
184,6.9901,1
185,14.3452,1
193,3.8457,1
196,2001.28,2
201,50.7721,1
203,542.303,4
204,6.9961,1
206,207.177,1
211,7.5813,1
216,83.7761,1
219,69.1518,1
221,28.2425,1
222,6.9777,1
224,171.656,1
227,77.0622,1
228,16.0982,1
238,3.1784,1
240,3.5991,1
241,286.469,1
246,36.3118,1
249,16.5089,1
256,41.0619,1
260,10.9354,1
264,10.8015,2
279,31.8235,2
283,16.2197,1
284,27.7545,1
301,88.5915,1
305,42.2865,1
309,24.8249,1
311,501.115,1
313,282.466,1
321,45.5044,1
322,18.1397,1
323,3.4225,1
330,135.758,1
335,152.346,1
337,52.2204,1
339,34.244,1
340,2342.03,1
345,2.0142,1
348,462.377,2
352,7.4865,1
354,10.3479,1
356,57.273,1
362,13109.6,1
370,13.9477,1
376,166.018,1
380,3.1068,1
383,2824.74,1
387,73.1774,1
389,186.535,1
390,231.933,1
391,207.662,1
396,110.762,1
401,42.5474,1
406,915.997,1
417,5.0841,1
420,14.5541,1
425,5.1525,1
437,14.4253,1
447,378.207,1
452,71.0951,1
453,39.6405,2
454,1000.45,3
467,51.7207,1
476,11.0274,1
478,20.1642,1
479,4009.7,1
481,154.052,1
486,81.6162,1
492,20.4528,1
493,21.7971,1
494,133.538,3
501,8.7672,1
516,2725.67,3
518,234.795,1
527,801.91,1
529,961.122,1
530,115.818,1
536,32.2994,1
537,165.886,1
545,11.5062,1
556,22.0778,1
570,4.951,1
571,88.429,1
573,42.8314,1
575,21.0719,1
579,30.6197,2
586,27.6554,1
587,2.8862,1
588,6.6734,1
592,188.596,1
599,3.0162,1
600,24.6729,1
607,447.083,1
609,12.5274,1
616,1565.51,1
620,25.2488,1
623,34.7281,1
627,2.8723,1
634,383.392,1
641,90.0018,1
642,404.81,1
644,11.293,1
666,25.8753,1
669,2.127,1
677,3.8507,2
687,2317.75,1
690,314.293,3
696,6.7185,1
700,931.907,2
707,263.537,1
