user_id,user_score
1071,24537.0
362,13109.6
105,9732.43
642861,8340.83
928,7200.25
807,5735.15
2686,4335.36
642536,4182.73
479,4009.7
831,3989.1
1845,3837.39
2632,3760.87
802,3210.71
642490,3197.25
383,2824.74
516,2725.67
44005,2721.87
676602,2697.44
155431,2691.17
643719,2624.09
772,2609.06
105477,2532.56
209,2498.95
20363,2413.2
310,2413.07
340,2342.03
687,2317.75
1490,2272.84
2538,2198.84
110194,2169.47
662634,2131.13
20011,2098.36
2673,2074.97
357530,2067.82
104136,2051.63
21137,2004.21
1983,2003.46
196,2001.28
1273,1989.23
805,1976.62
94026,1955.91
3162,1954.93
27543,1952.66
62875,1945.53
106354,1924.43
21,1916.31
93539,1910.02
722,1881.31
657449,1787.38
939,1769.51
646255,1767.64
20921,1743.5
825,1722.99
11879,1702.42
6510,1657.76
38337,1642.53
889,1616.56
649283,1606.38
1069,1568.84
616,1565.51
642539,1523.18
60085,1506.54
2844,1486.14
1210,1460.04
4541,1417.88
268336,1417.77
254926,1397.72
1001507,1384.37
665215,1372.53
966,1364.5
684215,1352.78
645693,1336.37
8000,1334.73
18858,1329.73
4935,1318.48
638610,1296.88
71153,1261.1
77,1246.16
642509,1194.1
17404,1193.84
2286,1171.88
1239,1166.79
4562,1159.24
9291,1147.48
1450,1137.75
758957,1131.75
3231,1113.92
37057,1099.35
1703,1095.77
4986,1088.12
114445,1071.25
375,1068.61
1185,1055.87
644920,1055.71
1574,1038.54
104540,1031.26
649853,1021.67
1259,1016.64
280407,1013.06
1704,1012.86
726,1012.53
2363,1008.87
86430,1001.57
366,999.77
5693,997.027
694116,995.4
3948,994.084
529,961.122
6440,960.733
2810,957.59
1179,955.402
15152,951.826
1985,949.814
1528,934.536
1243,933.185
69931,912.625
513,911.201
106143,904.995
10843,887.701
4049,858.415
5234,855.195
24739,847.819
1118,847.766
71,846.613
106990,830.836
5701,829.901
11809,821.665
642838,815.095
1311,811.445
5273,802.83
527,801.91
1819,797.266
810,796.621
645647,791.556
104131,778.645
37063,776.173
22014,769.932
21065,768.125
195547,767.866
956,763.933
27019,763.735
6331,756.873
91958,750.203
46,749.509
3220,740.257
3695,738.458
20323,736.495
23129,736.336
107408,732.261
57889,725.8
664092,718.218
63544,710.208
4141,709.821
37334,709.475
515983,708.955
717,705.748
905,704.428
21408,704.139
77295,702.733
847,701.805
78451,699.526
1999,691.034
116989,690.139
4235,687.038
25520,686.999
673641,685.924
1112,684.902
25524,684.652
109988,683.605
24803,683.332
36712,681.49
480825,673.54
642501,669.928
3899,666.96
642549,665.646
642613,664.755
104133,650.768
646046,650.532
4958,645.833
850,643.271
90,641.884
95611,641.24
8874,639.842
5702,639.065
86340,636.464
6462,634.647
131024,629.243
131027,626.62
1009453,625.318
10419,622.842
6395,617.749
78730,615.96
919,615.51
31427,614.508
373537,614.285
29149,611.376
23631,609.287
8879,608.348
21627,607.626
2982,602.498
27976,597.395
20933,596.279
800,595.824
732815,594.831
21341,588.722
93857,585.024
1294,583.523
96350,583.079
136261,576.509
13600,571.826
11931,571.526
123,570.213
104132,569.586
5205,568.895
6459,563.427
3371,562.29
69856,560.31
1834,560.222
865,558.691
19999,552.179
222724,551.807
14702,549.644
91961,547.173
646812,546.572
133563,542.941
203,542.303
1073128,538.432
21112,534.039
1587,529.651
92262,524.795
20081,520.564
1246,518.443
20912,518.147
21709,516.841
6381,516.21
75044,513.241
1032183,510.85
518634,510.244
4814,509.813
122761,508.402
17263,506.708
998605,504.795
37398,504.794
645583,504.7
719,503.775
20799,503.426
5048,503.209
5037,500.826
208974,499.585
648375,499.064
3480,497.374
79272,497.192
3727,495.852
661951,492.782
33783,489.213
68027,488.967
20902,488.64
8682,482.509
79558,481.887
510,481.403
24434,481.246
21660,480.904
1160,478.3
833,478.139
78636,477.085
4942,473.395
38409,472.415
213776,471.356
14250,469.839
4305,466.554
2425,466.337
