version,simulations,score
1,1,153
1,2,156.5
1,3,147
1,4,152
1,5,154.4
1,6,153.333
1,7,150.857
1,8,149.625
1,9,152.889
1,10,157.1
1,11,158.182
1,12,157.583
1,13,156.154
1,14,154.714
1,15,154.267
1,16,154.688
1,17,157.176
1,18,158.111
1,19,160.053
1,20,159.55
1,21,157.714
1,22,160.773
1,23,161.087
1,24,161.875
1,25,163.36
1,26,163.423
1,27,165.963
1,28,167.821
1,29,167
1,30,166.367
1,31,167.065
1,32,167.094
1,33,167.121
1,34,166.324
1,35,166.057
1,36,164.778
1,37,164.892
1,38,164.658
1,39,167.231
1,40,167.3
1,41,166.341
1,42,166.405
1,43,166.442
1,44,166.205
1,45,165.867
1,46,165.391
1,47,164.489
1,48,164.146
1,49,164.408
1,50,164.46
1,51,164.824
1,52,164.346
1,53,165.019
1,54,165.537
1,55,165.309
1,56,165.964
1,57,165.825
1,58,165.776
1,59,165.746
1,60,166.65
1,61,166.869
1,62,166.629
1,63,169.413
1,64,169.344
1,65,168.831
1,66,170.515
1,67,170.493
1,68,170.632
1,69,170.043
1,70,169.943
1,71,169.662
1,72,170.139
1,73,169.945
1,74,170.054
1,75,169.84
1,76,170.487
1,77,170.403
1,78,170.923
1,79,171.114
1,80,170.887
1,81,170.235
1,82,171.793
1,83,171.88
1,84,171.94
1,85,171.471
1,86,170.814
1,87,171.448
1,88,171.602
1,89,171.337
1,90,171.678
1,91,171.692
1,92,171.978
1,93,171.968
1,94,172.032
1,95,172.032
1,96,172
1,97,171.691
1,98,171.796
1,99,171.727
1,100,171.23
1,101,171.119
1,102,173.235
1,103,173.388
1,104,173.212
1,105,173.124
1,106,173.264
1,107,173.308
1,108,173.231
1,109,175.193
1,110,174.682
1,111,174.387
1,112,174.5
1,113,174.407
1,114,174.553
1,115,174.609
1,116,174.371
1,117,174.769
1,118,174.373
1,119,174.748
1,120,174.575
1,121,174.413
1,122,174.402
1,123,174.065
1,124,174.177
1,125,174.272
1,126,174.476
1,127,174.291
1,128,175.672
1,129,175.907
1,130,175.762
1,131,175.351
1,132,175.561
1,133,175.195
1,134,175.343
1,135,175.859
1,136,175.941
1,137,176.482
1,138,176.08
1,139,175.892
1,140,175.621
1,141,175.979
1,142,176.275
1,143,176.189
1,144,176.028
1,145,175.862
1,146,175.781
1,147,175.367
1,148,175.426
1,149,176.04
1,150,176.433
1,151,177.437
1,152,177.303
1,153,177.059
1,154,176.877
1,155,177.097
1,156,176.865
1,157,176.822
1,158,176.861
1,159,177.314
1,160,177.312
1,161,177.28
1,162,177.037
1,163,176.853
1,164,176.756
1,165,176.4
1,166,176.223
1,167,176.06
1,168,175.94
1,169,175.893
1,170,175.606
1,171,175.632
1,172,175.756
1,173,175.688
1,174,175.644
1,175,175.8
1,176,176.625
1,177,176.548
1,178,176.247
1,179,176.061
1,180,176.206
1,181,176.193
1,182,176.841
1,183,176.65
1,184,177
1,185,176.935
1,186,177.011
1,187,177.144
1,188,177.202
1,189,177.169
1,190,177.379
1,191,177.623
1,192,177.568
1,193,177.596
1,194,177.284
1,195,176.954
1,196,177.27
1,197,177.188
1,198,177.197
1,199,177.648
1,200,177.915
1,201,177.955
1,202,177.886
1,203,177.764
1,204,177.853
1,205,177.624
1,206,177.505
1,207,177.411
1,208,177.505
1,209,177.483
1,210,177.457
1,211,177.427
1,212,177.208
1,213,177.117
1,214,177.262
1,215,177.153
1,216,177.037
1,217,176.88
1,218,176.716
1,219,177.009
1,220,176.877
1,221,176.851
1,222,176.743
1,223,176.74
1,224,177.058
1,225,176.907
1,226,177.128
1,227,176.991
1,228,176.93
1,229,177.393
1,230,177.513
1,231,177.519
1,232,177.401
1,233,177.884
1,234,177.637
1,235,177.711
1,236,177.97
1,237,178.021
1,238,178.441
