i,score
0,1.8062
1,14.8201
2,1.3444
3,6.1094
4,10.5576
5,7.657
6,1.5544
7,4.7681
8,9.7673
9,10.9146
10,8.2515
11,1.4999
12,11.3343
13,1.9768
14,15.8819
15,14.6394
16,3.4657
17,3.4468
18,3.1401
19,10.9782
20,8.1687
21,7.4648
22,4.235
23,11.6098
24,1.7923
25,4.5299
26,12.1805
27,15.0844
28,10.5508
29,4.078
30,5.0605
31,6.6875
32,5.8633
33,4.2202
34,2.4944
35,2.8597
36,11.6528
37,15.7217
38,6.7623
39,6.9267
40,5.6027
41,12.9649
42,9.9934
43,7.7181
44,7.3318
45,1.8278
46,5.7832
47,6.5964
48,9.5471
49,2.3274
50,2.446
51,7.9016
52,7.0492
53,3.0678
54,5.1646
55,3.0949
56,9.7421
57,7.73
58,2.9098
59,2.0621
60,13.1218
61,7.1153
62,8.574
63,8.7015
64,4.1081
65,2.7947
66,17.7204
67,8.1548
68,9.4026
69,3.551
70,3.3391
71,5.9204
72,10.2113
73,3.6834
74,8.938
75,8.5468
76,11.7814
77,8.089
78,6.0552
79,8.2395
80,16.1246
81,3.2945
82,4.8344
83,5.7499
84,3.902
85,9.715
86,8.0084
87,6.4251
88,11.435
89,8.2551
90,8.5522
91,3.3519
92,11.9891
93,2.8634
94,4.294
95,4.975
96,3.0558
97,3.8202
98,5.2973
99,15.6072
100,19.9051
101,3.8768
102,1.3069
103,7.354
104,4.5253
105,14.2842
106,1.2895
107,5.0666
108,4.9089
109,2.581
110,10.6328
111,12.492
112,6.1989
113,4.06
114,5.4188
115,6.7686
116,8.2798
117,8.0185
118,6.8121
119,3.0168
120,8.2815
121,6.6167
122,10.815
123,2.4551
124,20.5351
125,3.584
126,2.6172
127,3.6178
128,16.0234
129,9.3439
130,4.5945
131,15.3036
132,1.7669
133,10.8515
134,10.6462
135,8.738
136,6.596
137,1.371
138,2.9168
139,4.4024
140,13.4987
141,3.062
142,5.0448
143,4.5409
144,6.8113
145,11.9725
146,1.7348
147,4.6232
148,2.0841
149,5.1577
150,10.6223
151,10.0469
152,6.4633
153,7.0044
154,5.9572
155,7.4476
156,14.26
157,10.6457
158,4.4966
159,13.1959
160,4.4415
161,1.6466
162,5.3791
163,6.9654
164,6.6334
165,2.5588
166,2.5411
167,4.2967
168,8.1385
169,4.7876
170,4.7645
171,4.9865
172,1.6886
173,6.4404
174,5.3061
175,1.368
176,6.5459
177,4.3677
178,2.3677
179,1.8721
180,3.401
181,2.2333
182,2.2674
183,2.2523
184,2.5481
185,2.5449
186,6.9556
187,3.5783
188,3.108
189,3.8028
190,6.0231
191,1.7523
192,14.867
193,6.8125
194,9.1192
195,6.6602
196,16.3123
197,2.5415
198,2.7154
199,3.9935
200,12.9991
201,5.2904
202,1.4752
203,2.6339
204,5.1614
205,8.1606
206,2.2039
207,6.3606
208,2.3731
209,7.2118
210,15.796
211,3.0217
212,2.1516
213,2.6108
214,6.4587
215,4.3764
216,2.761
217,1.6537
218,5.7898
219,4.3998
220,7.5889
221,17.5029
222,6.9332
223,4.1237
224,10.3642
225,5.2544
226,7.5797
227,8.0513
228,1.9314
229,1.9488
230,13.793
231,8.721
232,6.1329
233,2.2029
234,7.5051
235,6.8983
236,15.8997
237,5.9191
238,8.7606
239,19.1224
240,10.4684
241,7.9308
242,9.1625
243,3.2632
244,6.513
245,8.4684
246,12.4002
247,11.8953
248,1.4049
249,10.2157
250,1.4641
251,12.1931
252,2
253,2
254,6.0982
255,11.2825
256,3.5123
257,4.5053
258,7.974
259,4.6228
260,8.0674
261,7.7091
262,5.3507
263,6.7396
264,1.7122
265,10.8629
266,15.3283
267,12.9446
268,8.6956
269,6.4107
270,2.6842
271,3.5672
272,6.51
273,5.8504
274,16.2115
275,4.7668
276,2.1527
277,5.5164
278,5.9339
279,4.1716
280,2.1384
281,3.0533
282,2.4059
283,6.3411
284,6.1336
285,5.9147
286,3.7011
287,16.3901
288,8.9399
289,2.3122
290,4.7013
291,1.784
292,4.1606
293,4.9717
294,3.0733
295,8.4644
296,6.1172
297,6.4165
298,4.4651
299,7.0158
300,3.1607
301,2.4623
302,4.2508
303,7.6743
304,2.6392
305,8.7702
306,7.3253
307,15.5896
308,5.9005
309,1.2364
310,8.67
311,5.5785
312,9.3265
313,3.3664
314,3.2202
315,8.5882
316,10.0993
317,3.6325
318,3.9916
319,3.5826
320,3.288
321,3.1332
322,6.2627
323,4.3725
324,3.5736
325,4.8947
326,15.8419
327,2.36
328,13.0743
329,8.0549
330,6.6184
331,6.1845
332,6.6255
333,2.11
334,3.2403
335,6.96
336,5.3887
337,4.2756
338,2.9913
339,2.4469
340,5.2701
341,5.469
342,4.6016
343,4.118
344,4.005
345,4.6057
346,7.2882
347,3.6729
348,1.2389
349,11.7386
350,3.8466
351,3.0527
352,2.0396
353,3.7083
354,11.7008
355,2.0006
356,4.384
357,5.0574
358,1.226
359,11.8847
360,6.274
361,8.5658
362,1.2906
363,15.5721
364,1.3498
365,4.6338
366,1.3893
367,9.915
368,1.811
369,1.807
370,5.9914
371,2.8616
372,1.2985
373,3.2371
374,1.6797
375,7.799
376,3.4014
377,3.4102
378,2.0747
379,2.1267
380,3.148
381,7.0539
382,13.0186
383,6.9638
384,1.4013
385,3.8144
386,4.4115
387,3.5433
388,4.3393
389,3.7639
390,1.9627
391,3.1673
392,3.1675
393,9.2135
394,2.2598
395,2.8201
396,9.8012
397,3.052
398,3.3273
399,1.4963
400,1.4016
401,10.2944
402,2.3141
403,7.6477
404,3.6452
405,1.4404
406,2.6085
407,1.7493
408,8.8217
409,7.6259
410,2.8339
411,4.0856
412,14.1364
413,4.3422
414,4.0631
415,11.3868
416,5.5131
417,12.0604
418,1.6412
419,6.1505
420,5.1127
421,6.3987
422,8.2967
423,9.9094
424,3.4493
425,3.1107
426,6.7406
427,1.6358
428,1.8017
429,4.1207
430,2.5741
431,3.4475
432,5.7033
433,1.4233
434,3.767
435,7.9818
436,7.9892
437,8.2478
438,4.2324
439,6.1988
440,6.9343
441,2.1172
442,10.2353
443,1.7306
444,7.0655
445,2.0367
446,2.4344
447,6.1749
448,1.4945
449,2.8713
450,2.1774
451,1.3845
452,2
453,2
454,4.3521
455,1.6952
456,2.3178
457,12.872
458,1.4224
459,8.3748
460,8.9959
461,1.9636
462,1.9636
463,1.4287
464,3.1765
465,4.6038
466,3.1573
467,2.3368
468,5.3508
469,3.6607
470,1.4026
471,6.1545
472,1.5302
473,4.7307
474,22.3366
475,3.4078
476,2.4983
477,2.1588
478,4.5724
479,1.502
480,6.5829
481,4.7569
482,14.0011
483,2.6856
484,1.8558
485,5.1143
486,5.7216
487,8.9825
488,4.8551
489,1.6397
490,1.6825
491,4.0305
492,7.7286
493,1.3752
494,5.78
495,3.8687
496,2.2279
497,1.3787
498,7.673
499,3.6304
500,3.6135
501,1.9678
502,4.4253
503,8.2347
504,1.2365
505,1.478
506,4.2489
507,14.2974
508,2.081
509,6.9839
510,3.0099
511,9.4354
512,12.3547
513,4.8492
514,4.982
515,12.423
516,3.5751
517,9.3687
518,3.789
519,4.2006
520,1.8455
521,7.1471
522,3.0433
523,6.2335
524,6.0027
525,14.268
526,6.7019
527,2.5492
528,3.8416
529,1.3738
530,3.8923
531,6.3157
532,2.5278
533,4.9397
534,4.3578
535,14.8789
536,6.647
